"id","filename","md5","size","state"
"22280281-1e0d-459e-9690-0194836e7ebd","aeb9f3e0-28f9-4126-b276-0f787d19ef36.htseq.counts","7a92189956416ff80921c401cbe89f24",1274594,"released"
"b97c966f-472e-4551-9fcd-19b76c1829d6","739f5018-d0d0-4f8c-9a70-f2e2aad9d466.htseq.counts","0a56856dcc2ea926f234a5e858adf3c7",1262211,"released"
"3b1b9bbd-c177-406a-b81c-d8baf1ba9257","b1623fd7-b407-4a82-910d-c0e57518e608.htseq.counts","d07cbb316231d0f03395866ba64e195b",1276366,"released"
"29e99565-f4c0-4a55-acc7-4bf6cd0a5fd2","250ed70c-1090-459e-b17e-c6420e1c39de.htseq.counts","184b5b15dee70cdcc41c2df505fc0646",1275075,"released"
"3b3ad8b8-5f37-4191-9d9b-43ef7fcc8b19","35ab5a54-d625-4301-a1e2-52f2881924d8.htseq.counts.gz","e7dc8bd3ebd68a56ebd5e0fdf00d9b5e",246489,"released"
"b007a9c2-24fa-4d97-8ed2-ddc7719bf08d","e3df7c0a-e03a-4bf2-b27d-6018befb11a1.htseq.counts.gz","221c1e90742582acbb46d81e23d8f8b1",261016,"released"
"28b41a23-ee00-49f2-b34d-0b2aa1af7dbf","914cada1-f6bc-440c-a3a5-cccf58dd092a.htseq.counts.gz","548f6145210f4d577b1605f49b1c01b4",270306,"released"
"78245aa8-bda8-4fe2-bae3-4f0e96e27968","a5b94775-a468-4602-b118-6fb01a028df3.htseq.counts.gz","0373df7f62a60243bd6f7afd2441fd8e",261069,"released"
"f36d5cf1-6cd5-4646-982d-281daaf284f0","8b14a563-bd4f-4f76-95f2-608c4ba95120.htseq.counts.gz","91c00be33332068c017d7ffdffb81049",258816,"released"
"98a9e729-a948-4fef-a76f-357b435268e2","5a9177ab-1d15-4f71-8abe-8e8acdc2c08e.htseq.counts.gz","f97ccdd26548e9a506fc0f45fe05a023",259672,"released"
"871dca81-b5c3-4ae9-b1ca-39e0943890ec","5cc3c136-8c26-4740-bc19-ee93d0ff878d.htseq.counts.gz","df71e9a7690fc840c4d9edb9774b0c18",260813,"released"
"06f0c68b-2c4d-4356-8712-e84a0472d25c","8328c0ca-dcb9-4ebd-9be7-4d33e371b18e.htseq.counts.gz","3f62e2c72ece1341704723a8b94ca240",260493,"released"
"429ed0aa-b926-4b6a-809f-b38c5bc0925b","bde9c657-1c07-4235-a382-6e335a08e2f2.htseq.counts.gz","05fb881e3f2bb693658ec485fab8c056",262410,"released"
"9bc1a471-6353-46f4-a0fe-58d1a62dce1b","19b200de-86b5-43e5-9379-a414ac320f7f.htseq.counts.gz","5ad87bba00616c9c434bd741345e8da8",262352,"released"
"2a9ddd79-8e37-40f6-8e51-15154bbf8120","f879ac15-70ca-4141-a31c-e24ee0b363fc.htseq.counts.gz","b612d0405dbdd964946abea29ce27ca3",264612,"released"
"0d8fe702-e90c-45f4-bcd7-0dbca74d51a4","e8b1b217-d9a1-40e8-880c-bdef72f7ab0e.htseq.counts.gz","2aa3942778b21fac8bc7cc430fe078e8",264687,"released"
"557c80ac-6efb-495d-a5dd-16975e154a83","760a512d-b19e-4549-8a58-d4882215849f.htseq.counts.gz","7d181d1959ad1fe01be708c8991bd182",261506,"released"
"0fb640e7-8e3c-469f-9194-ab29c273d250","715fccd9-648c-4397-8b2a-4ff60d57a9f8.htseq.counts.gz","f436898e54958860e9de74a6eef133fb",261880,"released"
"80329d91-4f81-473b-980c-a0d933b7c2d8","a93632ec-55c9-4bba-a857-53aa1e3ceab8.htseq.counts.gz","dd5ccb3c223303d9b75442f13cecfefd",258940,"released"
"3b73b77f-03ea-4779-ad55-18ca48d57eb5","0612146e-1703-4219-a161-8b28b922c459.htseq.counts.gz","7647d6dd0403f260c0f04d5af72d62a8",260517,"released"
"e7696da0-d248-4dde-b48a-877956060329","10baca0b-926d-4bbb-94e5-eee516aba7dd.htseq.counts.gz","0fd0c2144c124878a30aa129aed2c94a",259360,"released"
"ce01c60a-1148-4b58-be69-2560ba1e120d","370b12a8-8d7f-4670-acfe-3f26635ec73b.htseq.counts.gz","b041e8d99e04f7241d6779fae31d9f9c",262395,"released"
"81809e43-0aa2-43b3-b646-405c93515cc6","61ca52ce-7683-4de6-a422-f85e7aa2ed4b.htseq.counts.gz","44349fa2350ebd5abe32b7d3148db7e2",261813,"released"
"4c149ccb-5f4b-4ae9-ad7c-343b37859230","8ddee527-8143-43ef-91de-3cb78f1616ae.htseq.counts.gz","556d36b937fecdd55d1c1743bdaee9c1",263990,"released"
"18e7d545-72bd-44dc-b140-e4298483e6bf","a59407f9-091b-4915-acfc-580416ff0c55.htseq.counts.gz","7e4091a146374c3c3ed8958b4cb8d383",260247,"released"
"6a3954ff-47fd-49d9-b268-30981e18c005","8c5b143f-3675-449b-a5c0-fca9cafe2e35.htseq.counts.gz","915eac789c4b2d6e3a72cce130659f8f",256265,"released"
"ff9049a0-f8e4-4f1d-a48c-dbcff2d93f63","d0fd1d70-4467-434a-817a-06156299ae2f.htseq.counts.gz","807724eda3c114ec19adb8cb1c103def",267449,"released"
"46e2a00b-38d1-4323-9028-1649eb5fb886","4eaa61a5-9ff8-423c-a8ec-fb28cc576dee.htseq.counts.gz","841b6bb9b0908e7cbc71c5087f337d80",269519,"released"
"7a35108e-c18e-4500-8de9-b41a4319ab45","6c044e12-ed1e-4dc7-8d4f-8cd093cfac01.htseq.counts.gz","053d394b10e1a6a9d63de7b3df5f02e8",259235,"released"
"b3aa191d-6841-4709-86da-c39f37a93286","f69dd807-8426-4c82-9d71-d45d6887eae8.htseq.counts.gz","a6336ef9e1e8a8e91e8a633f767fd7fc",260914,"released"
"fffea00b-2d87-46bf-8608-b2dbf61bbc36","8b02297b-2f42-4e23-89a2-afed7380ab4f.htseq.counts.gz","782c809378e25726ebe3d0f49003f394",264352,"released"
