"","x"
"1","ENSG00000002933.6"
"2","ENSG00000005108.14"
"3","ENSG00000005381.7"
"4","ENSG00000008516.15"
"5","ENSG00000024526.15"
"6","ENSG00000025039.13"
"7","ENSG00000038382.16"
"8","ENSG00000039560.12"
"9","ENSG00000071242.10"
"10","ENSG00000079102.15"
"11","ENSG00000086205.15"
"12","ENSG00000100095.17"
"13","ENSG00000102760.12"
"14","ENSG00000103034.13"
"15","ENSG00000103196.10"
"16","ENSG00000105792.18"
"17","ENSG00000106080.9"
"18","ENSG00000106484.13"
"19","ENSG00000106605.9"
"20","ENSG00000106823.11"
"21","ENSG00000109265.11"
"22","ENSG00000111341.8"
"23","ENSG00000111885.6"
"24","ENSG00000118965.13"
"25","ENSG00000121621.6"
"26","ENSG00000121690.8"
"27","ENSG00000122574.9"
"28","ENSG00000123358.18"
"29","ENSG00000125430.7"
"30","ENSG00000128591.14"
"31","ENSG00000132170.18"
"32","ENSG00000132514.12"
"33","ENSG00000133246.10"
"34","ENSG00000133392.15"
"35","ENSG00000135842.15"
"36","ENSG00000136379.10"
"37","ENSG00000137960.5"
"38","ENSG00000138079.12"
"39","ENSG00000143067.4"
"40","ENSG00000143167.10"
"41","ENSG00000143878.9"
"42","ENSG00000144354.12"
"43","ENSG00000144642.19"
"44","ENSG00000145685.12"
"45","ENSG00000147174.10"
"46","ENSG00000147488.10"
"47","ENSG00000147872.8"
"48","ENSG00000149534.7"
"49","ENSG00000153283.11"
"50","ENSG00000154262.11"
"51","ENSG00000156113.19"
"52","ENSG00000157404.14"
"53","ENSG00000158050.4"
"54","ENSG00000158286.11"
"55","ENSG00000158315.9"
"56","ENSG00000158488.14"
"57","ENSG00000162078.10"
"58","ENSG00000164035.8"
"59","ENSG00000164684.12"
"60","ENSG00000164741.13"
"61","ENSG00000164949.6"
"62","ENSG00000167419.9"
"63","ENSG00000170396.7"
"64","ENSG00000170677.5"
"65","ENSG00000170893.3"
"66","ENSG00000172403.9"
"67","ENSG00000175449.12"
"68","ENSG00000177398.17"
"69","ENSG00000179639.9"
"70","ENSG00000182247.8"
"71","ENSG00000187902.10"
"72","ENSG00000197405.6"
"73","ENSG00000198208.10"
"74","ENSG00000198876.11"
"75","ENSG00000203797.8"
"76","ENSG00000213759.7"
"77","ENSG00000224940.7"
"78","ENSG00000226321.5"
"79","ENSG00000234261.2"
"80","ENSG00000236279.5"
"81","ENSG00000241911.1"
"82","ENSG00000244273.1"
"83","ENSG00000248347.3"
"84","ENSG00000250696.4"
"85","ENSG00000250771.2"
"86","ENSG00000253522.3"
"87","ENSG00000257654.1"
"88","ENSG00000257883.1"
"89","ENSG00000258227.5"
"90","ENSG00000259884.1"
"91","ENSG00000262061.4"
"92","ENSG00000262265.1"
"93","ENSG00000270823.1"
"94","ENSG00000272620.1"
"95","ENSG00000275342.3"
"96","ENSG00000280303.2"
