"","x"
"1","ENSG00000000003.13"
"2","ENSG00000004139.12"
"3","ENSG00000005073.5"
"4","ENSG00000005471.14"
"5","ENSG00000005961.16"
"6","ENSG00000006432.14"
"7","ENSG00000006740.15"
"8","ENSG00000008086.9"
"9","ENSG00000008283.14"
"10","ENSG00000008405.10"
"11","ENSG00000020633.17"
"12","ENSG00000022567.8"
"13","ENSG00000024422.10"
"14","ENSG00000027075.12"
"15","ENSG00000042286.13"
"16","ENSG00000046604.11"
"17","ENSG00000047648.20"
"18","ENSG00000049246.13"
"19","ENSG00000049323.14"
"20","ENSG00000050327.13"
"21","ENSG00000056998.17"
"22","ENSG00000060656.18"
"23","ENSG00000064300.7"
"24","ENSG00000064652.9"
"25","ENSG00000067177.13"
"26","ENSG00000067606.14"
"27","ENSG00000070087.12"
"28","ENSG00000070371.14"
"29","ENSG00000073282.11"
"30","ENSG00000073803.12"
"31","ENSG00000075213.9"
"32","ENSG00000075461.5"
"33","ENSG00000076351.11"
"34","ENSG00000076716.8"
"35","ENSG00000078399.14"
"36","ENSG00000081985.9"
"37","ENSG00000082397.14"
"38","ENSG00000085063.13"
"39","ENSG00000085276.16"
"40","ENSG00000086730.15"
"41","ENSG00000087495.15"
"42","ENSG00000088053.10"
"43","ENSG00000088305.17"
"44","ENSG00000088808.15"
"45","ENSG00000089558.7"
"46","ENSG00000089847.11"
"47","ENSG00000090661.10"
"48","ENSG00000091490.9"
"49","ENSG00000091831.20"
"50","ENSG00000092096.13"
"51","ENSG00000096092.5"
"52","ENSG00000099139.12"
"53","ENSG00000099284.12"
"54","ENSG00000100320.21"
"55","ENSG00000100448.3"
"56","ENSG00000100505.12"
"57","ENSG00000101000.4"
"58","ENSG00000101115.11"
"59","ENSG00000101333.15"
"60","ENSG00000101605.11"
"61","ENSG00000102230.12"
"62","ENSG00000102349.13"
"63","ENSG00000102362.14"
"64","ENSG00000102554.12"
"65","ENSG00000102595.17"
"66","ENSG00000102780.15"
"67","ENSG00000102996.4"
"68","ENSG00000104341.15"
"69","ENSG00000104728.14"
"70","ENSG00000104892.15"
"71","ENSG00000105227.13"
"72","ENSG00000105357.14"
"73","ENSG00000105464.3"
"74","ENSG00000105559.10"
"75","ENSG00000105609.15"
"76","ENSG00000105655.17"
"77","ENSG00000105711.9"
"78","ENSG00000105991.7"
