"","x"
"1","ENSG00000005471.14"
"2","ENSG00000067606.14"
"3","ENSG00000078399.14"
"4","ENSG00000088305.17"
"5","ENSG00000100320.21"
"6","ENSG00000101333.15"
"7","ENSG00000102349.13"
"8","ENSG00000102780.15"
"9","ENSG00000105227.13"
"10","ENSG00000105559.10"
"11","ENSG00000105991.7"
"12","ENSG00000105996.6"
"13","ENSG00000105997.21"
"14","ENSG00000106004.4"
"15","ENSG00000106006.6"
"16","ENSG00000107281.8"
"17","ENSG00000117525.12"
"18","ENSG00000119919.10"
"19","ENSG00000120068.6"
"20","ENSG00000120279.6"
"21","ENSG00000122548.5"
"22","ENSG00000122592.7"
"23","ENSG00000123453.15"
"24","ENSG00000124140.11"
"25","ENSG00000124159.14"
"26","ENSG00000125648.13"
"27","ENSG00000125821.10"
"28","ENSG00000128805.13"
"29","ENSG00000130147.14"
"30","ENSG00000130635.14"
"31","ENSG00000130962.16"
"32","ENSG00000131370.14"
"33","ENSG00000132122.10"
"34","ENSG00000135622.11"
"35","ENSG00000135862.5"
"36","ENSG00000136802.10"
"37","ENSG00000136854.16"
"38","ENSG00000137673.7"
"39","ENSG00000139117.12"
"40","ENSG00000142235.7"
"41","ENSG00000145777.13"
"42","ENSG00000147689.15"
"43","ENSG00000151929.8"
"44","ENSG00000153253.14"
"45","ENSG00000154277.11"
"46","ENSG00000154783.9"
"47","ENSG00000156968.8"
"48","ENSG00000162836.10"
"49","ENSG00000163092.18"
"50","ENSG00000163354.13"
"51","ENSG00000163736.3"
"52","ENSG00000163737.3"
"53","ENSG00000165171.9"
"54","ENSG00000165300.7"
"55","ENSG00000166091.18"
"56","ENSG00000168268.9"
"57","ENSG00000168938.5"
"58","ENSG00000170921.13"
"59","ENSG00000174705.10"
"60","ENSG00000176788.8"
"61","ENSG00000176842.13"
"62","ENSG00000177133.9"
"63","ENSG00000179299.15"
"64","ENSG00000179542.14"
"65","ENSG00000182873.5"
"66","ENSG00000183828.13"
"67","ENSG00000184867.12"
"68","ENSG00000184916.7"
"69","ENSG00000186301.8"
"70","ENSG00000186564.5"
"71","ENSG00000188153.11"
"72","ENSG00000188659.8"
"73","ENSG00000196104.9"
"74","ENSG00000196876.12"
"75","ENSG00000197301.6"
"76","ENSG00000197576.12"
"77","ENSG00000198185.10"
"78","ENSG00000198722.11"
"79","ENSG00000198865.8"
"80","ENSG00000198892.6"
"81","ENSG00000204116.10"
"82","ENSG00000204682.5"
"83","ENSG00000206120.10"
"84","ENSG00000230749.4"
"85","ENSG00000233922.2"
"86","ENSG00000235034.5"
"87","ENSG00000242516.1"
"88","ENSG00000244479.5"
"89","ENSG00000253187.2"
"90","ENSG00000253293.4"
"91","ENSG00000253552.6"
"92","ENSG00000254369.5"
"93","ENSG00000259207.6"
"94","ENSG00000270182.1"
"95","ENSG00000274591.1"
"96","ENSG00000275966.1"
