"","x"
"1","ENSG00000105991.7"
"2","ENSG00000105996.6"
"3","ENSG00000105997.21"
"4","ENSG00000106004.4"
"5","ENSG00000106006.6"
"6","ENSG00000124140.11"
"7","ENSG00000125821.10"
"8","ENSG00000130147.14"
"9","ENSG00000135622.11"
"10","ENSG00000145777.13"
"11","ENSG00000163354.13"
"12","ENSG00000165300.7"
"13","ENSG00000166091.18"
"14","ENSG00000179542.14"
"15","ENSG00000197301.6"
"16","ENSG00000197576.12"
"17","ENSG00000198722.11"
"18","ENSG00000253552.6"
"19","ENSG00000254369.5"
"20","ENSG00000270182.1"
