"","x"
"1","ENSG00000002933.6"
"2","ENSG00000004799.7"
"3","ENSG00000005108.14"
"4","ENSG00000005381.7"
"5","ENSG00000005513.9"
"6","ENSG00000007384.14"
"7","ENSG00000007402.10"
"8","ENSG00000007866.17"
"9","ENSG00000008394.11"
"10","ENSG00000008516.15"
"11","ENSG00000013016.13"
"12","ENSG00000019991.14"
"13","ENSG00000021826.13"
"14","ENSG00000024526.15"
"15","ENSG00000025039.13"
"16","ENSG00000035499.11"
"17","ENSG00000035720.6"
"18","ENSG00000038382.16"
"19","ENSG00000039560.12"
"20","ENSG00000046653.13"
"21","ENSG00000049759.15"
"22","ENSG00000050555.16"
"23","ENSG00000061918.11"
"24","ENSG00000065320.7"
"25","ENSG00000066926.9"
"26","ENSG00000067082.13"
"27","ENSG00000069493.13"
"28","ENSG00000070018.7"
"29","ENSG00000071242.10"
"30","ENSG00000071575.10"
"31","ENSG00000071794.14"
"32","ENSG00000072571.18"
"33","ENSG00000073754.5"
"34","ENSG00000074416.12"
"35","ENSG00000075340.21"
"36","ENSG00000077782.18"
"37","ENSG00000077935.15"
"38","ENSG00000078596.9"
"39","ENSG00000079102.15"
"40","ENSG00000079308.15"
"41","ENSG00000081377.15"
"42","ENSG00000086205.15"
"43","ENSG00000087237.9"
"44","ENSG00000088992.16"
"45","ENSG00000091129.18"
"46","ENSG00000091656.14"
"47","ENSG00000099250.16"
"48","ENSG00000099954.17"
"49","ENSG00000099998.16"
"50","ENSG00000100033.15"
"51","ENSG00000100095.17"
"52","ENSG00000101194.16"
"53","ENSG00000101213.6"
"54","ENSG00000102003.9"
"55","ENSG00000102024.16"
"56","ENSG00000102760.12"
"57","ENSG00000102854.13"
"58","ENSG00000103034.13"
"59","ENSG00000103067.10"
"60","ENSG00000103175.9"
"61","ENSG00000103196.10"
"62","ENSG00000103245.12"
"63","ENSG00000103647.11"
"64","ENSG00000103852.11"
"65","ENSG00000103995.12"
"66","ENSG00000104290.9"
"67","ENSG00000105251.9"
"68","ENSG00000105612.7"
"69","ENSG00000105717.12"
"70","ENSG00000105737.8"
"71","ENSG00000105792.18"
"72","ENSG00000106080.9"
"73","ENSG00000106236.3"
"74","ENSG00000106258.12"
"75","ENSG00000106484.13"
"76","ENSG00000106538.8"
"77","ENSG00000106605.9"
"78","ENSG00000106823.11"
"79","ENSG00000106976.17"
"80","ENSG00000107779.10"
"81","ENSG00000108679.11"
"82","ENSG00000109099.12"
"83","ENSG00000109265.11"
"84","ENSG00000109576.12"
"85","ENSG00000109805.8"
"86","ENSG00000111052.6"
"87","ENSG00000111058.6"
"88","ENSG00000111247.13"
"89","ENSG00000111341.8"
"90","ENSG00000111816.7"
"91","ENSG00000111885.6"
"92","ENSG00000113389.14"
"93","ENSG00000113645.12"
"94","ENSG00000114279.12"
"95","ENSG00000114790.11"
"96","ENSG00000115041.11"
"97","ENSG00000115085.12"
"98","ENSG00000115112.7"
"99","ENSG00000115602.15"
"100","ENSG00000115616.2"
"101","ENSG00000115705.19"
"102","ENSG00000115844.9"
"103","ENSG00000115963.12"
"104","ENSG00000116016.12"
"105","ENSG00000116176.6"
"106","ENSG00000116667.11"
"107","ENSG00000116711.9"
"108","ENSG00000116729.12"
"109","ENSG00000117155.15"
"110","ENSG00000117245.11"
"111","ENSG00000117400.13"
"112","ENSG00000117650.11"
"113","ENSG00000118193.10"
"114","ENSG00000118242.14"
"115","ENSG00000118257.15"
"116","ENSG00000118407.13"
"117","ENSG00000118508.4"
"118","ENSG00000118898.14"
"119","ENSG00000118965.13"
"120","ENSG00000119535.16"
"121","ENSG00000120162.9"
"122","ENSG00000120696.8"
"123","ENSG00000120756.11"
"124","ENSG00000121621.6"
"125","ENSG00000121690.8"
"126","ENSG00000121858.9"
"127","ENSG00000122223.11"
"128","ENSG00000122574.9"
"129","ENSG00000122778.8"
"130","ENSG00000123119.10"
"131","ENSG00000123358.18"
"132","ENSG00000123700.4"
"133","ENSG00000124731.11"
"134","ENSG00000124920.12"
"135","ENSG00000125355.14"
"136","ENSG00000125384.6"
"137","ENSG00000125430.7"
"138","ENSG00000125538.10"
"139","ENSG00000126583.9"
"140","ENSG00000126787.11"
"141","ENSG00000126878.11"
"142","ENSG00000127954.11"
"143","ENSG00000128266.8"
"144","ENSG00000128342.4"
"145","ENSG00000128422.14"
"146","ENSG00000128591.14"
"147","ENSG00000128849.10"
"148","ENSG00000129625.11"
"149","ENSG00000130203.8"
"150","ENSG00000130649.8"
"151","ENSG00000130702.12"
"152","ENSG00000132170.18"
"153","ENSG00000132329.9"
"154","ENSG00000132514.12"
"155","ENSG00000132915.9"
"156","ENSG00000132975.7"
"157","ENSG00000133106.13"
"158","ENSG00000133216.15"
"159","ENSG00000133246.10"
"160","ENSG00000133392.15"
"161","ENSG00000133612.17"
"162","ENSG00000133985.2"
"163","ENSG00000134242.14"
"164","ENSG00000134245.16"
"165","ENSG00000134569.8"
"166","ENSG00000134830.5"
"167","ENSG00000135046.12"
"168","ENSG00000135047.13"
"169","ENSG00000135077.7"
"170","ENSG00000135272.8"
"171","ENSG00000135766.8"
"172","ENSG00000135842.15"
"173","ENSG00000135916.14"
"174","ENSG00000136010.12"
"175","ENSG00000136158.9"
"176","ENSG00000136235.14"
"177","ENSG00000136379.10"
"178","ENSG00000136732.13"
"179","ENSG00000136842.12"
"180","ENSG00000136929.11"
"181","ENSG00000136931.8"
"182","ENSG00000136943.9"
"183","ENSG00000136999.4"
"184","ENSG00000137331.11"
"185","ENSG00000137571.9"
"186","ENSG00000137809.15"
"187","ENSG00000137819.12"
"188","ENSG00000137960.5"
"189","ENSG00000138061.10"
"190","ENSG00000138079.12"
"191","ENSG00000138160.5"
"192","ENSG00000138193.13"
"193","ENSG00000138395.13"
"194","ENSG00000138778.10"
"195","ENSG00000139211.6"
"196","ENSG00000139438.5"
"197","ENSG00000139679.14"
"198","ENSG00000139971.14"
"199","ENSG00000140022.8"
"200","ENSG00000140057.7"
"201","ENSG00000140287.9"
"202","ENSG00000140795.11"
"203","ENSG00000142192.19"
"204","ENSG00000143061.16"
"205","ENSG00000143067.4"
"206","ENSG00000143167.10"
"207","ENSG00000143228.11"
"208","ENSG00000143878.9"
"209","ENSG00000143889.14"
"210","ENSG00000143891.15"
"211","ENSG00000144057.14"
"212","ENSG00000144331.17"
"213","ENSG00000144354.12"
"214","ENSG00000144642.19"
"215","ENSG00000144959.8"
"216","ENSG00000145075.10"
"217","ENSG00000145685.12"
"218","ENSG00000145730.19"
"219","ENSG00000147138.1"
"220","ENSG00000147174.10"
"221","ENSG00000147488.10"
"222","ENSG00000147570.8"
"223","ENSG00000147614.3"
"224","ENSG00000147872.8"
"225","ENSG00000149534.7"
"226","ENSG00000150627.14"
"227","ENSG00000150907.6"
"228","ENSG00000151012.12"
"229","ENSG00000151632.15"
"230","ENSG00000152192.7"
"231","ENSG00000152465.16"
"232","ENSG00000152527.12"
"233","ENSG00000152939.13"
"234","ENSG00000152953.11"
"235","ENSG00000153283.11"
"236","ENSG00000153404.12"
"237","ENSG00000153904.17"
"238","ENSG00000153956.14"
"239","ENSG00000154025.14"
"240","ENSG00000154027.17"
"241","ENSG00000154237.11"
"242","ENSG00000154262.11"
"243","ENSG00000154263.16"
"244","ENSG00000155754.13"
"245","ENSG00000155792.8"
"246","ENSG00000155974.10"
"247","ENSG00000155980.10"
"248","ENSG00000156042.16"
"249","ENSG00000156113.19"
"250","ENSG00000156298.11"
"251","ENSG00000157240.3"
"252","ENSG00000157404.14"
"253","ENSG00000158050.4"
"254","ENSG00000158089.13"
"255","ENSG00000158286.11"
"256","ENSG00000158315.9"
"257","ENSG00000158457.5"
"258","ENSG00000158481.11"
"259","ENSG00000158488.14"
"260","ENSG00000158859.9"
"261","ENSG00000159189.10"
"262","ENSG00000159374.16"
"263","ENSG00000159714.9"
"264","ENSG00000160013.7"
"265","ENSG00000160062.13"
"266","ENSG00000160801.12"
"267","ENSG00000161905.11"
"268","ENSG00000161940.9"
"269","ENSG00000162078.10"
"270","ENSG00000162433.13"
"271","ENSG00000162444.11"
"272","ENSG00000162551.12"
"273","ENSG00000162772.15"
"274","ENSG00000163106.9"
"275","ENSG00000163393.11"
"276","ENSG00000163519.12"
"277","ENSG00000163577.6"
"278","ENSG00000163638.12"
"279","ENSG00000163710.6"
"280","ENSG00000163751.3"
"281","ENSG00000163808.15"
"282","ENSG00000163898.8"
"283","ENSG00000163993.6"
"284","ENSG00000164035.8"
"285","ENSG00000164056.9"
"286","ENSG00000164066.11"
"287","ENSG00000164120.12"
"288","ENSG00000164627.16"
"289","ENSG00000164684.12"
"290","ENSG00000164741.13"
"291","ENSG00000164849.8"
"292","ENSG00000164949.6"
"293","ENSG00000165152.7"
"294","ENSG00000165304.6"
"295","ENSG00000165490.11"
"296","ENSG00000165716.8"
"297","ENSG00000165905.15"
"298","ENSG00000166482.10"
"299","ENSG00000166979.11"
"300","ENSG00000167103.10"
"301","ENSG00000167419.9"
"302","ENSG00000167601.10"
"303","ENSG00000167664.7"
"304","ENSG00000168916.14"
"305","ENSG00000169122.10"
"306","ENSG00000169245.5"
"307","ENSG00000169248.11"
"308","ENSG00000169429.9"
"309","ENSG00000169604.18"
"310","ENSG00000169679.13"
"311","ENSG00000169760.16"
"312","ENSG00000170011.12"
"313","ENSG00000170396.7"
"314","ENSG00000170677.5"
"315","ENSG00000170873.17"
"316","ENSG00000170891.9"
"317","ENSG00000170893.3"
"318","ENSG00000170909.12"
"319","ENSG00000171223.5"
"320","ENSG00000171243.7"
"321","ENSG00000171388.11"
"322","ENSG00000171509.14"
"323","ENSG00000171659.12"
"324","ENSG00000171714.10"
"325","ENSG00000172236.15"
"326","ENSG00000172322.12"
"327","ENSG00000172331.10"
"328","ENSG00000172403.9"
"329","ENSG00000172482.4"
"330","ENSG00000172995.15"
"331","ENSG00000173852.12"
"332","ENSG00000175449.12"
"333","ENSG00000175984.13"
"334","ENSG00000177398.17"
"335","ENSG00000177685.15"
"336","ENSG00000178053.16"
"337","ENSG00000178297.11"
"338","ENSG00000179088.13"
"339","ENSG00000179104.7"
"340","ENSG00000179639.9"
"341","ENSG00000179954.13"
"342","ENSG00000180447.6"
"343","ENSG00000181656.6"
"344","ENSG00000181690.6"
"345","ENSG00000182247.8"
"346","ENSG00000182985.15"
"347","ENSG00000182993.3"
"348","ENSG00000183691.4"
"349","ENSG00000183853.16"
"350","ENSG00000183914.13"
"351","ENSG00000183971.5"
"352","ENSG00000184661.12"
"353","ENSG00000184785.5"
"354","ENSG00000185129.5"
"355","ENSG00000186469.7"
"356","ENSG00000186642.14"
"357","ENSG00000187134.11"
"358","ENSG00000187720.13"
"359","ENSG00000187902.10"
"360","ENSG00000187922.12"
"361","ENSG00000187955.10"
"362","ENSG00000188266.12"
"363","ENSG00000188582.7"
"364","ENSG00000188641.11"
"365","ENSG00000188883.4"
"366","ENSG00000189068.8"
"367","ENSG00000196139.10"
"368","ENSG00000196358.9"
"369","ENSG00000196526.9"
"370","ENSG00000196557.9"
"371","ENSG00000196562.13"
"372","ENSG00000196584.2"
"373","ENSG00000196632.9"
"374","ENSG00000196735.10"
"375","ENSG00000197119.11"
"376","ENSG00000197249.11"
"377","ENSG00000197405.6"
"378","ENSG00000197555.8"
"379","ENSG00000197561.5"
"380","ENSG00000197978.9"
"381","ENSG00000198208.10"
"382","ENSG00000198576.3"
"383","ENSG00000198780.10"
"384","ENSG00000198829.6"
"385","ENSG00000198842.8"
"386","ENSG00000198876.11"
"387","ENSG00000203797.8"
"388","ENSG00000204136.9"
"389","ENSG00000204291.9"
"390","ENSG00000205683.10"
"391","ENSG00000205696.4"
"392","ENSG00000211752.3"
"393","ENSG00000212978.6"
"394","ENSG00000213759.7"
"395","ENSG00000214960.8"
"396","ENSG00000218565.2"
"397","ENSG00000221866.8"
"398","ENSG00000221869.4"
"399","ENSG00000223764.2"
"400","ENSG00000224063.4"
"401","ENSG00000224739.2"
"402","ENSG00000224940.7"
"403","ENSG00000225778.4"
"404","ENSG00000226167.1"
"405","ENSG00000226321.5"
"406","ENSG00000227502.2"
"407","ENSG00000227953.5"
"408","ENSG00000228401.4"
"409","ENSG00000229140.7"
"410","ENSG00000233392.4"
"411","ENSG00000233622.1"
"412","ENSG00000234261.2"
"413","ENSG00000234409.6"
"414","ENSG00000234456.6"
"415","ENSG00000235027.1"
"416","ENSG00000235888.1"
"417","ENSG00000236279.5"
"418","ENSG00000239445.4"
"419","ENSG00000240280.5"
"420","ENSG00000240350.2"
"421","ENSG00000240498.5"
"422","ENSG00000241911.1"
"423","ENSG00000243649.7"
"424","ENSG00000244273.1"
"425","ENSG00000244301.4"
"426","ENSG00000248347.3"
"427","ENSG00000249884.7"
"428","ENSG00000250696.4"
"429","ENSG00000250771.2"
"430","ENSG00000251002.6"
"431","ENSG00000253522.3"
"432","ENSG00000254343.2"
"433","ENSG00000256294.6"
"434","ENSG00000257654.1"
"435","ENSG00000257883.1"
"436","ENSG00000258227.5"
"437","ENSG00000258733.4"
"438","ENSG00000259462.2"
"439","ENSG00000259823.4"
"440","ENSG00000259884.1"
"441","ENSG00000260182.1"
"442","ENSG00000260314.2"
"443","ENSG00000260708.1"
"444","ENSG00000260807.5"
"445","ENSG00000260816.2"
"446","ENSG00000261326.2"
"447","ENSG00000261377.4"
"448","ENSG00000261754.2"
"449","ENSG00000262061.4"
"450","ENSG00000262222.1"
"451","ENSG00000262265.1"
"452","ENSG00000262482.1"
"453","ENSG00000263465.3"
"454","ENSG00000265190.5"
"455","ENSG00000266369.1"
"456","ENSG00000266709.1"
"457","ENSG00000267757.3"
"458","ENSG00000269086.2"
"459","ENSG00000270823.1"
"460","ENSG00000271745.1"
"461","ENSG00000272335.1"
"462","ENSG00000272382.1"
"463","ENSG00000272620.1"
"464","ENSG00000273314.1"
"465","ENSG00000273802.1"
"466","ENSG00000274253.3"
"467","ENSG00000274349.3"
"468","ENSG00000275342.3"
"469","ENSG00000275385.1"
"470","ENSG00000278969.1"
"471","ENSG00000279278.1"
"472","ENSG00000279717.1"
"473","ENSG00000279792.1"
"474","ENSG00000280194.1"
"475","ENSG00000280303.2"
"476","ENSG00000280777.1"
"477","ENSG00000281128.1"
"478","ENSG00000281344.1"
