"","x"
"1","ENSG00000002933.6"
"2","ENSG00000005108.14"
"3","ENSG00000005381.7"
"4","ENSG00000005513.9"
"5","ENSG00000008516.15"
"6","ENSG00000024526.15"
"7","ENSG00000025039.13"
"8","ENSG00000035499.11"
"9","ENSG00000038382.16"
"10","ENSG00000039560.12"
"11","ENSG00000046653.13"
"12","ENSG00000071242.10"
"13","ENSG00000072571.18"
"14","ENSG00000073754.5"
"15","ENSG00000077935.15"
"16","ENSG00000078596.9"
"17","ENSG00000079102.15"
"18","ENSG00000086205.15"
"19","ENSG00000087237.9"
"20","ENSG00000100095.17"
"21","ENSG00000102760.12"
"22","ENSG00000102854.13"
"23","ENSG00000103034.13"
"24","ENSG00000103196.10"
"25","ENSG00000104290.9"
"26","ENSG00000105251.9"
"27","ENSG00000105792.18"
"28","ENSG00000106080.9"
"29","ENSG00000106484.13"
"30","ENSG00000106538.8"
"31","ENSG00000106605.9"
"32","ENSG00000106823.11"
"33","ENSG00000109099.12"
"34","ENSG00000109265.11"
"35","ENSG00000109576.12"
"36","ENSG00000111341.8"
"37","ENSG00000111885.6"
"38","ENSG00000113645.12"
"39","ENSG00000115085.12"
"40","ENSG00000115616.2"
"41","ENSG00000116667.11"
"42","ENSG00000117245.11"
"43","ENSG00000118257.15"
"44","ENSG00000118407.13"
"45","ENSG00000118898.14"
"46","ENSG00000118965.13"
"47","ENSG00000119535.16"
"48","ENSG00000120756.11"
"49","ENSG00000121621.6"
"50","ENSG00000121690.8"
"51","ENSG00000121858.9"
"52","ENSG00000122574.9"
"53","ENSG00000122778.8"
"54","ENSG00000123119.10"
"55","ENSG00000123358.18"
"56","ENSG00000123700.4"
"57","ENSG00000124731.11"
"58","ENSG00000125384.6"
"59","ENSG00000125430.7"
"60","ENSG00000126583.9"
"61","ENSG00000128342.4"
"62","ENSG00000128591.14"
"63","ENSG00000130203.8"
"64","ENSG00000130649.8"
"65","ENSG00000132170.18"
"66","ENSG00000132514.12"
"67","ENSG00000132975.7"
"68","ENSG00000133216.15"
"69","ENSG00000133246.10"
"70","ENSG00000133392.15"
"71","ENSG00000133612.17"
"72","ENSG00000134569.8"
"73","ENSG00000134830.5"
"74","ENSG00000135046.12"
"75","ENSG00000135077.7"
"76","ENSG00000135272.8"
"77","ENSG00000135842.15"
"78","ENSG00000136158.9"
"79","ENSG00000136379.10"
"80","ENSG00000136931.8"
"81","ENSG00000136943.9"
"82","ENSG00000137819.12"
"83","ENSG00000137960.5"
"84","ENSG00000138079.12"
"85","ENSG00000138193.13"
"86","ENSG00000143067.4"
"87","ENSG00000143167.10"
"88","ENSG00000143878.9"
"89","ENSG00000144331.17"
"90","ENSG00000144354.12"
"91","ENSG00000144642.19"
"92","ENSG00000144959.8"
"93","ENSG00000145685.12"
"94","ENSG00000147174.10"
"95","ENSG00000147488.10"
"96","ENSG00000147872.8"
"97","ENSG00000149534.7"
"98","ENSG00000151632.15"
"99","ENSG00000152527.12"
"100","ENSG00000152939.13"
"101","ENSG00000152953.11"
"102","ENSG00000153283.11"
"103","ENSG00000154027.17"
"104","ENSG00000154237.11"
"105","ENSG00000154262.11"
"106","ENSG00000156113.19"
"107","ENSG00000157404.14"
"108","ENSG00000158050.4"
"109","ENSG00000158286.11"
"110","ENSG00000158315.9"
"111","ENSG00000158457.5"
"112","ENSG00000158488.14"
"113","ENSG00000158859.9"
"114","ENSG00000159374.16"
"115","ENSG00000160013.7"
"116","ENSG00000161905.11"
"117","ENSG00000162078.10"
"118","ENSG00000162433.13"
"119","ENSG00000162444.11"
"120","ENSG00000163993.6"
"121","ENSG00000164035.8"
"122","ENSG00000164684.12"
"123","ENSG00000164741.13"
"124","ENSG00000164949.6"
"125","ENSG00000165905.15"
"126","ENSG00000166482.10"
"127","ENSG00000166979.11"
"128","ENSG00000167419.9"
"129","ENSG00000167601.10"
"130","ENSG00000168916.14"
"131","ENSG00000170011.12"
"132","ENSG00000170396.7"
"133","ENSG00000170677.5"
"134","ENSG00000170873.17"
"135","ENSG00000170891.9"
"136","ENSG00000170893.3"
"137","ENSG00000171223.5"
"138","ENSG00000171243.7"
"139","ENSG00000171388.11"
"140","ENSG00000172403.9"
"141","ENSG00000172482.4"
"142","ENSG00000175449.12"
"143","ENSG00000177398.17"
"144","ENSG00000178053.16"
"145","ENSG00000179104.7"
"146","ENSG00000179639.9"
"147","ENSG00000182247.8"
"148","ENSG00000187902.10"
"149","ENSG00000188266.12"
"150","ENSG00000188641.11"
"151","ENSG00000196526.9"
"152","ENSG00000197405.6"
"153","ENSG00000197561.5"
"154","ENSG00000198208.10"
"155","ENSG00000198576.3"
"156","ENSG00000198842.8"
"157","ENSG00000198876.11"
"158","ENSG00000203797.8"
"159","ENSG00000204136.9"
"160","ENSG00000211752.3"
"161","ENSG00000213759.7"
"162","ENSG00000218565.2"
"163","ENSG00000221866.8"
"164","ENSG00000224940.7"
"165","ENSG00000226167.1"
"166","ENSG00000226321.5"
"167","ENSG00000233392.4"
"168","ENSG00000234261.2"
"169","ENSG00000234456.6"
"170","ENSG00000236279.5"
"171","ENSG00000241911.1"
"172","ENSG00000244273.1"
"173","ENSG00000248347.3"
"174","ENSG00000250696.4"
"175","ENSG00000250771.2"
"176","ENSG00000253522.3"
"177","ENSG00000257654.1"
"178","ENSG00000257883.1"
"179","ENSG00000258227.5"
"180","ENSG00000259462.2"
"181","ENSG00000259884.1"
"182","ENSG00000260816.2"
"183","ENSG00000262061.4"
"184","ENSG00000262222.1"
"185","ENSG00000262265.1"
"186","ENSG00000266709.1"
"187","ENSG00000270823.1"
"188","ENSG00000272620.1"
"189","ENSG00000275342.3"
"190","ENSG00000279792.1"
"191","ENSG00000280303.2"
