"","x"
"1","ENSG00000244734"
"2","ENSG00000005381"
"3","ENSG00000188536"
"4","ENSG00000172236"
"5","ENSG00000078399"
"6","ENSG00000167173"
"7","ENSG00000266074"
"8","ENSG00000086730"
"9","ENSG00000020633"
