,0
ENSG00000166173.10,5
ENSG00000183023.17,10
ENSG00000104921.13,4
ENSG00000154639.17,2
ENSG00000167912.5,13
ENSG00000266964.4,3
ENSG00000188820.11,1
ENSG00000008441.15,4
ENSG00000167103.10,2
ENSG00000164627.16,8
ENSG00000251615.3,1
ENSG00000110723.10,1
ENSG00000174370.8,13
ENSG00000251381.5,6
ENSG00000171794.3,2
ENSG00000241978.8,4
ENSG00000224796.1,4
ENSG00000114315.3,1
ENSG00000073282.11,6
ENSG00000162063.11,3
ENSG00000103852.11,4
ENSG00000198848.11,1
ENSG00000153071.13,6
ENSG00000095739.10,2
ENSG00000172752.13,1
ENSG00000213801.4,15
ENSG00000177469.12,6
ENSG00000134323.10,1
ENSG00000267023.4,6
ENSG00000151914.16,1
ENSG00000163535.16,5
ENSG00000066248.13,2
ENSG00000144476.5,5
ENSG00000079102.15,7
ENSG00000180921.6,2
ENSG00000025039.13,6
ENSG00000187017.13,7
ENSG00000254912.2,3
ENSG00000117461.13,2
ENSG00000188060.6,5
ENSG00000163909.7,10
ENSG00000161905.11,2
ENSG00000050555.16,1
ENSG00000163827.11,3
ENSG00000196517.10,2
ENSG00000135362.12,11
ENSG00000173852.12,14
ENSG00000205755.9,1
ENSG00000167701.12,2
ENSG00000129173.11,1
ENSG00000171714.10,2
ENSG00000140563.13,1
ENSG00000203724.9,1
ENSG00000164849.8,1
ENSG00000259985.1,1
ENSG00000152952.10,2
ENSG00000164105.3,2
ENSG00000188266.12,1
ENSG00000115425.12,1
ENSG00000147889.15,1
ENSG00000160867.13,3
ENSG00000075618.16,3
ENSG00000112320.10,6
ENSG00000162496.7,1
ENSG00000267293.1,1
ENSG00000163689.17,1
ENSG00000163792.6,8
ENSG00000198208.10,3
ENSG00000142303.12,12
ENSG00000235888.1,1
ENSG00000266074.7,3
ENSG00000162444.11,3
ENSG00000124145.6,1
ENSG00000170835.13,1
ENSG00000155792.8,3
ENSG00000276600.3,1
ENSG00000105426.13,4
ENSG00000075461.5,1
ENSG00000186185.12,2
ENSG00000145087.11,1
ENSG00000183018.7,4
ENSG00000109158.9,3
ENSG00000121895.7,6
ENSG00000006468.12,2
ENSG00000134072.9,2
ENSG00000164124.9,2
ENSG00000170801.8,1
ENSG00000147872.8,2
ENSG00000104312.7,3
ENSG00000230910.2,3
ENSG00000136404.14,1
ENSG00000136158.9,1
ENSG00000271952.1,14
ENSG00000010030.12,2
ENSG00000143416.19,1
ENSG00000039560.12,4
ENSG00000184916.7,3
ENSG00000144395.16,1
ENSG00000206538.6,3
ENSG00000244301.4,1
ENSG00000005961.16,1
ENSG00000266036.1,1
ENSG00000168502.16,3
ENSG00000245248.6,5
ENSG00000119919.10,4
ENSG00000067798.12,1
ENSG00000144320.12,10
ENSG00000148426.11,3
ENSG00000008516.15,3
ENSG00000170962.11,4
ENSG00000110400.9,2
ENSG00000274307.1,1
ENSG00000179299.15,3
ENSG00000169884.12,5
ENSG00000125384.6,2
ENSG00000176435.6,1
ENSG00000122121.9,1
ENSG00000105609.15,2
ENSG00000173369.14,1
ENSG00000142494.12,2
ENSG00000138061.10,3
ENSG00000268940.4,1
ENSG00000269586.6,1
ENSG00000269388.1,2
ENSG00000108679.11,1
ENSG00000132744.6,1
ENSG00000145075.10,1
ENSG00000106025.7,1
ENSG00000267206.4,3
ENSG00000273062.1,1
ENSG00000169604.18,2
ENSG00000243193.3,1
ENSG00000182010.9,1
ENSG00000234511.7,4
ENSG00000134317.16,1
ENSG00000211751.6,1
ENSG00000200091.1,2
ENSG00000198876.11,1
ENSG00000187902.10,1
ENSG00000079156.15,1
ENSG00000228742.8,4
ENSG00000118965.13,2
ENSG00000174684.6,3
ENSG00000213931.4,1
ENSG00000164692.16,1
ENSG00000105610.4,2
ENSG00000280153.1,3
ENSG00000260027.4,1
ENSG00000256271.1,2
ENSG00000187266.12,4
ENSG00000136235.14,6
ENSG00000177685.15,3
ENSG00000180354.14,3
ENSG00000154447.13,2
ENSG00000104432.11,1
ENSG00000198142.4,1
ENSG00000188171.13,1
ENSG00000139211.6,1
ENSG00000179344.15,2
ENSG00000232682.2,2
ENSG00000143107.7,1
ENSG00000218565.2,3
ENSG00000237797.1,2
ENSG00000196368.4,1
ENSG00000105227.13,3
ENSG00000088992.16,2
ENSG00000116833.12,3
ENSG00000184588.16,3
ENSG00000180549.7,2
ENSG00000278023.3,2
ENSG00000100433.14,1
ENSG00000116096.5,1
ENSG00000117155.15,3
ENSG00000071909.17,1
ENSG00000177383.4,1
ENSG00000244242.1,1
ENSG00000140795.11,1
ENSG00000261167.1,2
ENSG00000136842.12,1
ENSG00000186417.12,1
ENSG00000183248.10,5
ENSG00000152804.9,3
ENSG00000205436.6,1
ENSG00000164082.13,1
ENSG00000051341.12,1
ENSG00000188582.7,1
ENSG00000012779.9,1
ENSG00000065057.6,1
ENSG00000187715.12,2
ENSG00000112077.14,1
ENSG00000087085.12,3
ENSG00000277075.1,2
ENSG00000163564.13,1
ENSG00000143494.14,1
ENSG00000278330.1,1
ENSG00000211454.12,1
ENSG00000163736.3,1
ENSG00000005249.11,1
ENSG00000120915.12,1
ENSG00000159714.9,1
ENSG00000197959.12,3
ENSG00000135766.8,1
ENSG00000136378.13,1
ENSG00000140022.8,1
ENSG00000019582.13,1
ENSG00000276533.1,1
ENSG00000116711.9,2
ENSG00000102349.13,1
ENSG00000150938.8,1
ENSG00000106714.16,3
ENSG00000179855.5,1
ENSG00000197993.6,1
ENSG00000181790.9,2
ENSG00000158373.8,2
ENSG00000142910.14,2
ENSG00000169908.9,1
ENSG00000229140.7,1
ENSG00000169122.10,1
ENSG00000102760.12,2
ENSG00000136931.8,2
ENSG00000144724.17,1
ENSG00000117650.11,1
ENSG00000143061.16,2
ENSG00000121858.9,1
ENSG00000143228.11,1
ENSG00000116574.5,1
ENSG00000281344.1,1
ENSG00000183914.13,2
ENSG00000170365.8,1
ENSG00000235034.5,1
ENSG00000204287.12,2
ENSG00000197503.4,1
ENSG00000087589.15,1
ENSG00000173208.3,1
ENSG00000151150.19,1
ENSG00000135835.9,1
ENSG00000144031.10,1
ENSG00000168785.6,1
ENSG00000197747.7,1
ENSG00000169715.13,1
ENSG00000137875.4,1
ENSG00000003436.13,1
