,0
ENSG00000169184.5,148
ENSG00000197381.14,172
ENSG00000095397.12,310
ENSG00000124920.12,119
ENSG00000233016.5,226
ENSG00000136379.10,171
ENSG00000129467.12,425
ENSG00000173801.15,123
ENSG00000116985.9,534
ENSG00000006638.10,93
ENSG00000163393.11,317
ENSG00000133392.15,129
ENSG00000078596.9,315
ENSG00000110888.16,38
ENSG00000167363.12,97
ENSG00000138028.13,513
ENSG00000151474.18,262
ENSG00000181444.11,126
ENSG00000175984.13,80
ENSG00000198929.11,382
ENSG00000166147.12,276
ENSG00000204257.13,68
ENSG00000162482.4,356
ENSG00000102362.14,665
ENSG00000166126.9,119
ENSG00000254006.4,731
ENSG00000165092.11,312
ENSG00000135916.14,36
ENSG00000150054.17,172
ENSG00000110665.10,26
ENSG00000186871.6,47
ENSG00000184792.14,22
ENSG00000128266.8,51
ENSG00000008394.11,50
ENSG00000125430.7,335
ENSG00000161940.9,23
ENSG00000070371.14,139
ENSG00000155749.11,173
ENSG00000186583.10,351
ENSG00000067141.15,242
ENSG00000047597.5,9
ENSG00000130208.8,278
ENSG00000162599.14,136
ENSG00000135272.8,227
ENSG00000263366.2,109
ENSG00000163069.11,271
ENSG00000170545.15,103
ENSG00000049323.14,173
ENSG00000122786.18,93
ENSG00000179104.7,90
ENSG00000134202.9,170
ENSG00000231389.6,10
ENSG00000120162.9,115
ENSG00000146555.17,261
ENSG00000197721.15,40
ENSG00000054690.12,69
ENSG00000143776.17,47
ENSG00000172331.10,23
ENSG00000162882.13,78
ENSG00000173258.11,210
ENSG00000204791.7,250
ENSG00000130635.14,507
ENSG00000165949.11,61
ENSG00000165449.10,2
ENSG00000091831.20,52
ENSG00000008277.13,190
ENSG00000125648.13,85
ENSG00000251002.6,83
ENSG00000154027.17,70
ENSG00000115641.17,46
ENSG00000207205.1,199
ENSG00000118523.5,105
ENSG00000144681.9,15
ENSG00000149948.12,215
ENSG00000000003.13,199
ENSG00000149260.13,76
ENSG00000136848.15,21
ENSG00000070526.13,56
ENSG00000168754.12,25
ENSG00000270823.1,214
ENSG00000125869.8,96
ENSG00000179639.9,4
ENSG00000162543.5,106
ENSG00000175097.6,159
ENSG00000134242.14,224
ENSG00000068001.12,182
ENSG00000154133.13,355
ENSG00000143994.12,377
ENSG00000161835.9,15
ENSG00000171365.14,390
ENSG00000123552.16,439
ENSG00000160013.7,619
ENSG00000103260.7,64
ENSG00000159713.9,44
ENSG00000154265.14,223
ENSG00000260708.1,200
ENSG00000257654.1,758
ENSG00000091972.17,433
ENSG00000133131.13,156
ENSG00000221955.9,479
ENSG00000144712.10,484
ENSG00000020633.17,140
ENSG00000279766.1,264
ENSG00000124171.7,76
ENSG00000188343.11,76
ENSG00000261649.4,323
ENSG00000081386.11,43
ENSG00000067177.13,330
ENSG00000163710.6,29
ENSG00000185245.7,119
ENSG00000266709.1,77
ENSG00000175198.13,519
ENSG00000117245.11,53
ENSG00000260844.2,86
ENSG00000158352.14,90
ENSG00000185986.11,209
ENSG00000204116.10,91
ENSG00000081985.9,495
ENSG00000112414.13,317
ENSG00000197557.6,6
ENSG00000180336.16,148
ENSG00000187240.12,180
ENSG00000158528.10,66
ENSG00000143845.13,122
ENSG00000123453.15,625
ENSG00000274253.3,38
ENSG00000243650.3,106
ENSG00000197992.5,288
ENSG00000227755.1,399
ENSG00000172482.4,607
ENSG00000103245.12,179
ENSG00000136732.13,440
ENSG00000169752.15,317
ENSG00000178297.11,34
ENSG00000205213.12,283
ENSG00000165695.8,135
ENSG00000198892.6,241
ENSG00000198963.9,487
ENSG00000204613.9,22
ENSG00000123989.12,19
ENSG00000225756.1,73
ENSG00000120262.9,7
ENSG00000142611.15,193
ENSG00000228496.1,50
ENSG00000187010.17,98
ENSG00000166349.8,21
ENSG00000102780.15,236
ENSG00000143167.10,50
ENSG00000110492.14,283
ENSG00000140525.16,87
ENSG00000182247.8,410
ENSG00000263465.3,181
ENSG00000179583.16,110
ENSG00000261218.4,176
ENSG00000144036.13,310
ENSG00000179088.13,61
ENSG00000065320.7,20
ENSG00000115041.11,93
ENSG00000125864.10,224
ENSG00000260261.1,132
ENSG00000277561.3,370
ENSG00000128596.15,145
ENSG00000004139.12,82
ENSG00000232653.7,165
ENSG00000198088.9,121
ENSG00000177311.9,160
ENSG00000078900.13,135
ENSG00000134470.18,45
ENSG00000226435.9,251
ENSG00000227028.5,13
ENSG00000184500.13,406
ENSG00000185561.9,82
ENSG00000170921.13,93
ENSG00000178115.11,3
ENSG00000166979.11,87
ENSG00000270728.1,126
ENSG00000203799.9,62
ENSG00000229852.2,177
ENSG00000186399.10,114
ENSG00000001561.6,91
ENSG00000186314.10,35
ENSG00000259207.6,482
ENSG00000119042.15,131
ENSG00000269243.1,66
ENSG00000177181.13,35
ENSG00000164976.8,99
ENSG00000187210.11,58
ENSG00000135931.16,82
ENSG00000186564.5,255
ENSG00000188282.11,129
ENSG00000128284.18,31
ENSG00000006432.14,11
ENSG00000125144.12,4
ENSG00000206127.9,51
ENSG00000150627.14,7
ENSG00000180592.15,68
ENSG00000189221.8,161
ENSG00000183837.9,372
ENSG00000188580.12,274
ENSG00000183570.15,4
ENSG00000144893.11,151
ENSG00000259425.4,23
ENSG00000130147.14,110
ENSG00000163737.3,311
ENSG00000180071.17,2
ENSG00000184867.12,39
ENSG00000181218.5,118
ENSG00000158481.11,7
ENSG00000196793.12,53
ENSG00000164659.13,12
ENSG00000156042.16,3
ENSG00000279821.1,141
ENSG00000153253.14,81
ENSG00000176842.13,103
ENSG00000177398.17,328
ENSG00000073803.12,145
ENSG00000182600.8,136
ENSG00000134590.12,54
ENSG00000118242.14,161
ENSG00000236279.5,117
ENSG00000244273.1,44
ENSG00000171160.16,144
ENSG00000211752.3,15
ENSG00000186073.10,160
ENSG00000119946.10,113
ENSG00000165138.15,174
ENSG00000092096.13,118
ENSG00000148488.14,123
ENSG00000274605.1,285
ENSG00000272631.1,3
ENSG00000204682.5,106
ENSG00000172322.12,117
ENSG00000100276.9,160
ENSG00000074657.12,306
ENSG00000171914.13,299
ENSG00000137460.7,10
ENSG00000165895.16,81
ENSG00000153404.12,61
ENSG00000110693.14,34
ENSG00000170909.12,225
ENSG00000158747.12,182
ENSG00000080031.8,263
ENSG00000262482.1,167
ENSG00000119514.6,219
ENSG00000109265.11,20
ENSG00000137672.11,100
ENSG00000163053.9,391
ENSG00000280255.1,100
ENSG00000100095.17,312
ENSG00000166825.12,137
ENSG00000161714.10,136
ENSG00000126878.11,29
ENSG00000077782.18,246
ENSG00000118898.14,136
ENSG00000198336.8,58
ENSG00000125845.6,144
ENSG00000259429.4,69
ENSG00000120279.6,291
ENSG00000132932.15,265
ENSG00000143627.16,5
ENSG00000269246.1,11
ENSG00000092853.12,39
ENSG00000178814.14,71
ENSG00000105711.9,22
ENSG00000166165.11,12
ENSG00000174371.15,29
ENSG00000165891.14,223
ENSG00000158457.5,64
ENSG00000165171.9,44
ENSG00000117595.9,2
ENSG00000112276.12,24
ENSG00000169258.6,11
ENSG00000055118.13,4
ENSG00000182168.13,100
ENSG00000198626.14,62
ENSG00000197859.8,92
ENSG00000180543.4,145
ENSG00000165548.9,10
ENSG00000147689.15,205
ENSG00000104341.15,151
ENSG00000187862.10,56
ENSG00000122378.12,11
ENSG00000141756.17,7
ENSG00000172037.12,64
ENSG00000173894.9,118
ENSG00000239445.4,90
ENSG00000186115.11,44
ENSG00000040608.12,158
ENSG00000198826.9,48
ENSG00000234928.1,112
ENSG00000178078.10,91
ENSG00000060982.13,24
ENSG00000234177.4,66
ENSG00000121690.8,109
ENSG00000105270.13,10
ENSG00000141040.13,95
ENSG00000071242.10,165
ENSG00000181690.6,9
ENSG00000103196.10,220
ENSG00000180447.6,34
ENSG00000105991.7,172
ENSG00000179331.2,21
ENSG00000259042.2,50
ENSG00000188641.11,13
ENSG00000269981.1,43
ENSG00000061918.11,5
ENSG00000009950.14,139
ENSG00000158050.4,118
ENSG00000129625.11,33
ENSG00000198551.8,92
ENSG00000137331.11,74
ENSG00000131370.14,171
ENSG00000167173.17,40
ENSG00000196220.14,109
ENSG00000119535.16,6
ENSG00000259884.1,21
ENSG00000134532.14,82
ENSG00000159708.16,21
ENSG00000111339.9,3
ENSG00000132329.9,5
ENSG00000115165.8,59
ENSG00000176788.8,84
ENSG00000109321.9,4
ENSG00000108239.8,84
ENSG00000166394.13,85
ENSG00000271788.1,30
ENSG00000251322.6,12
ENSG00000120149.8,5
ENSG00000232629.7,31
ENSG00000131398.12,14
ENSG00000136999.4,62
ENSG00000128805.13,78
ENSG00000255092.1,8
ENSG00000137673.7,113
ENSG00000157110.14,97
ENSG00000184384.12,125
ENSG00000122778.8,75
ENSG00000169442.7,13
ENSG00000160326.12,215
ENSG00000198157.9,28
ENSG00000133321.9,34
ENSG00000259462.2,10
ENSG00000104290.9,5
ENSG00000006747.13,15
ENSG00000142694.6,4
ENSG00000005513.9,30
ENSG00000274712.1,21
ENSG00000167549.17,24
ENSG00000095932.6,6
ENSG00000108370.14,6
ENSG00000172817.3,33
ENSG00000179163.11,39
ENSG00000205978.5,66
ENSG00000176273.13,149
ENSG00000187772.6,54
ENSG00000057704.9,23
ENSG00000108821.12,119
ENSG00000166741.6,88
ENSG00000178038.15,134
ENSG00000269086.2,87
ENSG00000106012.16,35
ENSG00000105376.4,167
ENSG00000240350.2,21
ENSG00000164879.6,66
ENSG00000163331.9,134
ENSG00000177359.16,20
ENSG00000128965.10,120
