"","hgnc_id","hgnc_symbol","ensembl_gene_id","logFC","AveExpr","t","p.unadj","p.adj.bh","b","lasso_coef_rep1","lasso_coef_rep2","lasso_coef_rep3","rfnb_2k_MeanDecNodeImp","rfnb_5k_MeanDecNodeImp","rfnb_10k_MeanDecNodeImp","svm1_weights","svm2_weights","svm3_weights","svm4_weights","xg1_imp","xg2_imp","xg3_imp","xg4_imp","xg5_imp"
"ENSG00000158481.11","HGNC:1636","CD1C","ENSG00000158481",-2.14489950750071,-0.983728910855318,-3.00555886891701,0.00338334811684271,0.0185956231563708,-2.17483958043475,0,0,0,0.0120601048905557,0.014857672240159,0.0135375121883973,-0.00366569658447833,-0.00366569658447833,-6.15311399275323,-6.15311399275323,0,0,0,0,0
"ENSG00000185340.14","HGNC:16955","GAS2L1","ENSG00000185340",-1.01573696239231,1.7470401476708,-3.00453378417703,0.00339377222721905,0.0186470414185311,-2.49668047186209,0,0,0,0.00178835978835979,0.00112107597716293,0.00177238594738595,0.000985075281281058,0.000985075281281058,-1.45817308047001,-1.45817308047001,0,0,0,0,0
"ENSG00000180611.6","HGNC:30438","MB21D2","ENSG00000180611",1.90785006139604,-3.40522004514981,3.00396233114374,0.00339959623087653,0.0186584742653032,-1.87956606376386,0,0,0,0.020799828758908,0.00839507565580572,0.00980302219627373,0.00646581423166682,0.00646581423166682,7.95043003574471,7.95043003574471,0,0,0,0,0
"ENSG00000125869.8","HGNC:16097","LAMP5","ENSG00000125869",4.24331705429014,-1.66561619764415,3.00390988012459,0.00340013125190019,0.0186584742653032,-1.93669468545016,0,0,0,0.00333710339678985,0.00881550569351651,0.00590116853033481,0.001195821455238,0.001195821455238,5.58742638207802,5.58742638207802,0,0,0,0,0
"ENSG00000204682.5","HGNC:31448","CASC10","ENSG00000204682",2.66659399369293,-1.15376644144193,3.00164616427211,0.00342329637030486,0.0187678834632207,-2.03797061986039,0,0,0,0.00474177631578947,0.00939547484957853,0.0113396033208099,0.00640336436658535,0.00640336436658535,9.72937504962339,9.72937504962339,0,0,0,0,0
"ENSG00000174171.5","","","ENSG00000174171",-1.19960232297581,-2.31912713040812,-3.00132718450954,0.00342657226682449,0.0187799012820561,-2.02050134390501,0,0,0,0,0.00728020180590137,0.00624612829376084,0.00430291144514569,0.00430291144514569,-4.53729878348707,-4.53729878348707,0,0,0,0,0
"ENSG00000254777.4","","","ENSG00000254777",1.23886652914665,-2.64626867925258,3.00122313402915,0.0034276414836381,0.0187799012820561,-1.94676103558495,0,0,0,0.00641606244730645,0.000342857142857143,0.0025506723469767,0.00247657951673762,0.00247657951673762,4.72407055879908,4.72407055879908,0,0,0,0,0
"ENSG00000185008.16","HGNC:10250","ROBO2","ENSG00000185008",2.48444627531346,-5.51651566545081,2.9982582336149,0.00345823855859436,0.0189178336954151,-1.85675194088464,0,0,0,0.000857142857142857,0.00302516339869281,0.00749186108987744,-0.00156492192295719,-0.00156492192295719,5.23770948136239,5.23770948136239,0,0,0,0,0
"ENSG00000277224.1","HGNC:4752","HIST1H2BF","ENSG00000277224",-1.0473917575576,1.10160841042185,-2.99699216220612,0.00347138088285877,0.0189718795430675,-2.44851340191923,0,0,0,0.00524192176870748,0.0074601564927757,0.00760995220013404,-0.00412989773441652,-0.00412989773441652,-6.22275606567191,-6.22275606567191,0,0,0,0,0
"ENSG00000235169.6","HGNC:44204","SMIM1","ENSG00000235169",1.0290475802039,0.656282407574552,2.99611904799084,0.00348047103515426,0.0190156020069734,-2.35584733275992,0,0,0,0.00828970805808723,0.0118896257057042,0.0122522073453344,-0.000609310526996661,-0.000609310526996661,1.03385173612078,1.03385173612078,0,0,0,0,0
"ENSG00000164949.6","HGNC:4234","GEM","ENSG00000164949",1.64014937030349,-2.34339584834589,2.99566116573854,0.00348524692100548,0.0190238211942868,-1.97703601772003,0,0,0,0.00706197892868732,0.00369340122731427,0.00120714285714286,0.0020548843499121,0.0020548843499121,4.52162374633277,4.52162374633277,0,0,0,0,0
"ENSG00000140285.8","HGNC:3685","FGF7","ENSG00000140285",2.07000030081361,-4.4186955750878,2.99342020435587,0.00350870848679279,0.0191100279588199,-1.87275528076788,0,0,0,0,0.00319914775115595,0.00210718236012354,0.000697878082100606,0.000697878082100606,3.50459498059805,3.50459498059805,0,0,0,0,0
"ENSG00000157999.5","HGNC:22467","ANKRD61","ENSG00000157999",1.03837158470843,-2.15090586394876,2.99306956772312,0.00351239262716059,0.0191241227780326,-2.01588666840795,0,0,0,0.00518394740633481,0.00664431406520114,0.00423930575305395,-0.00448225801996366,-0.00448225801996366,3.42703694114156,3.42703694114156,0,0,0,0,0
"ENSG00000196793.12","HGNC:13031","ZNF239","ENSG00000196793",1.22829916360101,-2.99138505472544,2.99052010771247,0.00353928749511928,0.0192465306584651,-1.95127471269633,0,0,0,0.0140180498953607,0.020476727421832,0.0190011930850883,0.00630733582490456,0.00630733582490456,7.25485142132035,7.25485142132035,0,0,0,0,0
"ENSG00000105357.14","HGNC:23212","MYH14","ENSG00000105357",1.59007719991956,-4.99387201774319,2.98827513232434,0.00356312771105977,0.0193637833567866,-1.87973305150819,0,0,0,0,0.00177441102756892,0.00346322798609746,-0.000275974104794042,-0.000275974104794042,5.58559535968664,5.58559535968664,0,0,0,0,0
"ENSG00000274979.1","","","ENSG00000274979",1.44094215656197,-2.693014719137,2.98817642413045,0.00356417932694994,0.0193637833567866,-1.97343772266511,0,0,0,0.00483962450592886,0.00179165522501907,0.0031135455811595,0.00486936752055702,0.00486936752055702,5.61348548056717,5.61348548056717,0,0,0,0,0
"ENSG00000187862.10","HGNC:32348","TTC24","ENSG00000187862",-1.08320433612973,0.517537374070184,-2.98641988516503,0.00358294113676049,0.0194475445335366,-2.41190111520204,0,0,0,0.00961406020994256,0.00898760784326144,0.00877295884397787,0.000515929528210005,0.000515929528210005,-3.81634372236444,-3.81634372236444,0,0,0,0,0
"ENSG00000121989.13","HGNC:173","ACVR2A","ENSG00000121989",1.20046926138386,-1.64887607938031,2.98533662918628,0.00359455696867451,0.0194984596761589,-2.08114760446492,0,0,0,0.00631292366637194,0.00296155732169757,0.00395895100366637,-0.00628267479518893,-0.00628267479518893,3.03293527423221,3.03293527423221,0,0,0,0,0
